scientific_name_edited	Scientific Name	Common Name	provided_taxonomy_group	derived_kingdom_group	Kingdom	State
Alosa aestivalis	Alosa aestivalis	Blueback Herring	Fish	Animals	Animalia	Virginia
Etheostoma camurum	Etheostoma camurum	Bluebreast darter	Fish	Animals	Animalia	Virginia
Etheostoma jessiae	Etheostoma jessiae	Blueside darter	Fish	Animals	Animalia	Virginia
Moxostoma sp.	Moxostoma sp.	Brassy Jumprock	Fish	Animals	Animalia	Virginia
Labidesthes sicculus	Labidesthes sicculus	Brook silverside	Fish	Animals	Animalia	Virginia
Salvelinus fontinalis	Salvelinus fontinalis	Brook Trout	Fish	Animals	Animalia	Virginia
Pimephales vigilax	Pimephales vigilax	Bullhead minnow	Fish	Animals	Animalia	Virginia
Etheostoma brevispinum	Etheostoma brevispinum	Carolina fantail darter	Fish	Animals	Animalia	Virginia
Percina sciera	Percina sciera	Dusky darter	Fish	Animals	Animalia	Virginia
Notropis atherinoides	Notropis atherinoides	Emerald shiner	Fish	Animals	Animalia	Virginia
Hybopsis hypsinotus	Hybopsis hypsinotus	Highback chub	Fish	Animals	Animalia	Virginia
Notropis altipinnis	Notropis altipinnis	Highfin Shiner	Fish	Animals	Animalia	Virginia
Erimyzon sucetta	Erimyzon sucetta	Lake chubsucker	Fish	Animals	Animalia	Virginia
Lampetra aepyptera	Lampetra aepyptera	Least brook lamprey	Fish	Animals	Animalia	Virginia
Fundulus lineolatus	Fundulus lineolatus	Lined topminnow	Fish	Animals	Animalia	Virginia
Percina caprodes	Percina caprodes	Logperch	Fish	Animals	Animalia	Virginia
Lepomis megalotis	Lepomis megalotis	Longear Sunfish	Fish	Animals	Animalia	Virginia
Noturus eleutherus	Noturus eleutherus	Mountain madtom	Fish	Animals	Animalia	Virginia
Lythroughrus lirus	Lythroughrus lirus	Mountain shiner	Fish	Animals	Animalia	Virginia
Acantharchus pomotis	Acantharchus pomotis	Mud sunfish	Fish	Animals	Animalia	Virginia
Notropis scabriceps	Notropis scabriceps	New River shiner	Fish	Animals	Animalia	Virginia
Fundulus catenatus	Fundulus catenatus	Northern studfish	Fish	Animals	Animalia	Virginia
Moxostoma collapsum	Moxostoma collapsum	Notchlip redhorse	Fish	Animals	Animalia	Virginia
Ichthyomyzon bdellium	Ichthyomyzon bdellium	Ohio lamprey	Fish	Animals	Animalia	Virginia
Polyodon spathula	Polyodon spathula	Paddlefish	Fish	Animals	Animalia	Virginia
Percina crassa	Percina crassa	Piedmont darter	Fish	Animals	Animalia	Virginia
Notropis chiliticus	Notropis chiliticus	Redlip shiner	Fish	Animals	Animalia	Virginia
Hypentelium roanokense	Hypentelium roanokense	Roanoke hog sucker	Fish	Animals	Animalia	Virginia
Notropis stramineus	Notropis stramineus	Sand shiner	Fish	Animals	Animalia	Virginia
Percina oxyrhynchus	Percina oxyrhynchus	Sharpnose darter	Fish	Animals	Animalia	Virginia
Cottus cognatus	Cottus cognatus	Slimy sculpin	Fish	Animals	Animalia	Virginia
Moxostoma breviceps	Moxostoma breviceps	Smallmouth redhorse	Fish	Animals	Animalia	Virginia
Etheostoma stigmaeum	Etheostoma stigmaeum	Speckled darter	Fish	Animals	Animalia	Virginia
Fundulus rathbuni	Fundulus rathbuni	Speckled killifish	Fish	Animals	Animalia	Virginia
Noturus flavus	Noturus flavus	Stonecat	Fish	Animals	Animalia	Virginia
Phenacobius mirabilis	Phenacobius mirabilis	Suckermouth minnow	Fish	Animals	Animalia	Virginia
Etheostoma swannanoa	Etheostoma swannanoa	Swannanoa darter	Fish	Animals	Animalia	Virginia
Noturus gyrinus	Noturus gyrinus	Tadpole Madtom	Fish	Animals	Animalia	Virginia
Percina aurantiaca	Percina aurantiaca	Tangerine darter	Fish	Animals	Animalia	Virginia
Exoglossum laurae	Exoglossum laurae	Tonguetied Minnow	Fish	Animals	Animalia	Virginia
Ammocrypta clara	Ammocrypta clara	Western sand darter	Fish	Animals	Animalia	Virginia
Glaucomys sabrinus coloratus	Glaucomys sabrinus coloratus	Carolina northern flying squirrel	Mammals	Animals	Animalia	Virginia
Myotis leibii	Myotis leibii	Eastern small-footed myotis	Mammals	Animals	Animalia	Virginia
Megaptera novaengliane	Megaptera novaengliane	Humpback whale	Mammals	Animals	Animalia	Virginia
Myotis sodalis	Myotis sodalis	Indiana myotis	Mammals	Animals	Animalia	Virginia
Myotis lucifugus	Myotis lucifugus	Little Brown Bat	Mammals	Animals	Animalia	Virginia
Myotis septentrionalis	Myotis septentrionalis	Northern Long-Eared bat	Mammals	Animals	Animalia	Virginia
Eubalaena glacialis	Eubalaena glacialis	Northern right whale	Mammals	Animals	Animalia	Virginia
Corynorhinus rafinesquii macrotis	Corynorhinus rafinesquii macrotis	Rafinesque's eastern big-eared bat	Mammals	Animals	Animalia	Virginia
Lepus americanus virginianus	Lepus americanus virginianus	Snowshoe hare	Mammals	Animals	Animalia	Virginia
Perimyotis subflavus	Perimyotis subflavus	Tri-colored Bat	Mammals	Animals	Animalia	Virginia
Glaucomys sabrinus fuscus	Glaucomys sabrinus fuscus	Virginia northern flying squirrel	Mammals	Animals	Animalia	Virginia
Sciurus niger cinereus	Sciurus niger cinereus	Delmarva fox squirrel	Mammals	Animals	Animalia	Virginia
Martes pennanti pennanti	Martes pennanti pennanti	Fisher	Mammals	Animals	Animalia	Virginia
Myotis grisescens	Myotis grisescens	Gray bat	Mammals	Animals	Animalia	Virginia
Microtus chrotorrhinus	Microtus chrotorrhinus	Southern rock vole	Mammals	Animals	Animalia	Virginia
Sorex palustris	Sorex palustris	Southern water shrew	Mammals	Animals	Animalia	Virginia
Corynorhinus townsendii virginianus	Corynorhinus townsendii virginianus	Virginia big-eared bat	Mammals	Animals	Animalia	Virginia
Tursiops truncatus	Tursiops truncatus	Atlantic bottlenose dolphin	Mammals	Animals	Animalia	Virginia
Peromyscus leucopus easti	Peromyscus leucopus easti	Pungo white-footed mouse	Mammals	Animals	Animalia	Virginia
Sciurus niger niger	Sciurus niger niger	Southeastern fox squirrel	Mammals	Animals	Animalia	Virginia
Neotoma magister	Neotoma magister	Allegheny woodrat	Mammals	Animals	Animalia	Virginia
Sylvilagus obscurus	Sylvilagus obscurus	Appalachian cottontail	Mammals	Animals	Animalia	Virginia
Peromyscus gossypinus gossypinus	Peromyscus gossypinus gossypinus	Cotton mouse	Mammals	Animals	Animalia	Virginia
Spilogale putorius putorius	Spilogale putorius putorius	Eastern spotted skunk	Mammals	Animals	Animalia	Virginia
Balaenoptera physalus	Balaenoptera physalus	Fin whale	Mammals	Animals	Animalia	Virginia
Phocoena phocoena	Phocoena phocoena	Harbor porpoise	Mammals	Animals	Animalia	Virginia
Lasiurus cinereus	Lasiurus cinereus	Hoary Bat	Mammals	Animals	Animalia	Virginia
Sorex dispar dispar	Sorex dispar dispar	Long-tailed shrew	Mammals	Animals	Animalia	Virginia
Sylvilagus palustris palustris	Sylvilagus palustris palustris	Marsh rabbit	Mammals	Animals	Animalia	Virginia
Lasiurus borealis	Lasiurus borealis	Red Bat	Mammals	Animals	Animalia	Virginia
Lasionycteris noctivagans	Lasionycteris noctivagans	Silver-haired Bat	Mammals	Animals	Animalia	Virginia
Myotis austroriparius	Myotis austroriparius	Southeastern myotis	Mammals	Animals	Animalia	Virginia
Trichechus manatus latirostris	Trichechus manatus latirostris	West Indian manatee	Mammals	Animals	Animalia	Virginia
Anodonta implicata	Anodonta implicata	Alewife floater	Mollusks	Animals	Animalia	Virginia
Quadrula sparsa	Quadrula sparsa	Appalachian monkeyface	Mollusks	Animals	Animalia	Virginia
Fontigens bottimeri	Fontigens bottimeri	Appalachian springsnail	Mollusks	Animals	Animalia	Virginia
Fusconaia masoni	Fusconaia masoni	Atlantic pigtoe	Mollusks	Animals	Animalia	Virginia
Elliptio producta	Elliptio producta	Atlantic spike	Mollusks	Animals	Animalia	Virginia
Lemiox rimosus	Lemiox rimosus	Birdwing pearlymussel	Mollusks	Animals	Animalia	Virginia
Ligumia recta	Ligumia recta	Black sandshell	Mollusks	Animals	Animalia	Virginia
Fontigens orolibas	Fontigens orolibas	Blue Ridge springsnail	Mollusks	Animals	Animalia	Virginia
Pleurocera gradata	Pleurocera gradata	Bottle hornsnail	Mollusks	Animals	Animalia	Virginia
